timestamp,location,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed
2024-01-17 11:00:00,Demo City,145.2,228.9,118.5,4.9,21.2,9.5,23.5,43.0,0.4
2024-01-17 12:00:00,Demo City,158.9,252.1,128.9,5.4,24.5,8.2,24.2,42.0,0.3
2024-01-17 13:00:00,Demo City,162.5,258.8,132.5,5.6,25.8,7.8,24.8,41.5,0.3
2024-01-17 14:00:00,Demo City,155.8,248.5,126.8,5.2,24.2,8.5,25.1,41.0,0.4
2024-01-17 15:00:00,Demo City,142.5,228.2,118.2,4.8,22.5,9.8,25.5,41.5,0.5
2024-01-17 16:00:00,Demo City,118.9,198.5,102.5,4.2,19.8,11.5,25.2,42.5,0.7
2024-01-17 17:00:00,Demo City,95.2,162.8,88.5,3.5,16.9,14.2,24.8,44.0,0.9
2024-01-17 18:00:00,Demo City,72.5,125.1,72.8,2.8,13.5,17.5,24.1,46.0,1.2
2024-01-17 19:00:00,Demo City,55.8,98.2,61.5,2.2,10.8,21.2,23.2,48.5,1.5
2024-01-17 20:00:00,Demo City,42.5,75.8,51.2,1.8,8.9,25.5,22.1,51.0,1.9
2024-01-17 21:00:00,Demo City,35.2,62.5,44.5,1.5,7.5,29.8,20.8,53.5,2.3
2024-01-17 22:00:00,Demo City,28.9,51.2,38.2,1.3,6.2,33.5,19.2,56.0,2.7
2024-01-17 23:00:00,Demo City,24.5,43.8,33.5,1.1,5.4,36.8,17.5,58.5,3.0
2024-01-18 00:00:00,Demo City,21.2,38.5,29.8,0.9,4.8,39.2,15.8,61.0,3.2
2024-01-18 01:00:00,Demo City,19.5,35.2,27.8,0.8,4.4,40.5,14.5,63.0,3.4
2024-01-18 02:00:00,Demo City,18.2,32.8,26.2,0.7,4.1,41.5,13.5,64.5,3.6
2024-01-18 03:00:00,Demo City,17.5,31.5,25.2,0.6,3.9,42.1,12.8,65.5,3.8
2024-01-18 04:00:00,Demo City,16.9,30.5,24.5,0.6,3.7,42.8,12.2,66.0,4.0
2024-01-18 05:00:00,Demo City,17.8,31.8,25.5,0.7,3.9,42.0,12.5,65.5,3.7
2024-01-18 06:00:00,Demo City,22.5,38.9,29.2,0.9,5.2,39.8,14.8,62.0,3.0
2024-01-18 07:00:00,Demo City,31.5,54.8,37.5,1.3,6.5,35.2,17.5,57.5,2.2
2024-01-18 08:00:00,Demo City,40.8,71.5,47.2,1.7,7.8,29.5,20.2,52.5,1.6
2024-01-18 09:00:00,Demo City,75.5,128.8,78.5,2.9,14.2,18.5,22.1,48.0,0.8
2024-01-18 10:00:00,Demo City,98.2,168.5,92.5,3.6,18.9,14.5,23.5,45.0,0.6
2024-01-18 11:00:00,Demo City,88.5,152.2,85.8,3.2,17.2,16.2,24.5,43.5,0.7
2024-01-18 12:00:00,Demo City,75.8,132.5,76.5,2.8,14.8,18.8,25.2,42.5,0.9
2024-01-18 13:00:00,Demo City,62.5,110.8,66.8,2.4,12.5,21.5,25.8,42.0,1.1
2024-01-18 14:00:00,Demo City,51.8,92.5,58.2,2.0,10.5,24.8,25.5,42.5,1.4
2024-01-18 15:00:00,Demo City,42.5,76.2,51.2,1.7,8.8,28.2,25.1,43.5,1.7
2024-01-18 16:00:00,Demo City,35.8,64.5,44.8,1.5,7.4,31.5,24.2,45.5,2.1
2024-01-18 17:00:00,Demo City,30.2,54.8,39.5,1.3,6.2,34.5,23.1,48.0,2.5
2024-01-18 18:00:00,Demo City,26.5,47.5,35.5,1.1,5.5,37.2,22.0,50.5,2.8
2024-01-18 19:00:00,Demo City,23.8,42.5,32.5,1.0,5.0,38.8,21.1,52.5,2.9
2024-01-18 20:00:00,Demo City,22.1,39.5,30.5,0.9,4.6,39.8,20.0,54.5,2.8
2024-01-18 21:00:00,Demo City,20.8,37.2,29.1,0.8,4.3,40.5,18.8,56.5,2.8
2024-01-18 22:00:00,Demo City,19.8,35.5,27.8,0.8,4.1,41.2,17.5,58.5,2.9
2024-01-18 23:00:00,Demo City,19.1,34.2,26.8,0.7,3.9,41.8,16.2,60.5,3.1
